#,Title,Description,Type,Status,Start Date,End Date,Budget,Reach,Target Audience
64,Community Outreach Program 64,Community Outreach Program terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Development,Ongoing,2025-01-22,2025-02-14,9770050,166926,Urban Audience
65,Security System Upgrade 65,Security System Upgrade terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,IT,Completed,2024-11-27,2025-01-31,62231657,101917,Millennials
66,E-Commerce Expansion 66,E-Commerce Expansion terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,HR,On Hold,2025-12-03,2026-03-06,53175307,80964,Business Clients
67,Product Launch Event 67,Product Launch Event terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,On Hold,2024-09-23,2025-01-13,46401154,41594,Youth Audience
68,Brand Awareness Ads 68,Brand Awareness Ads terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Planned,2024-11-07,2025-02-20,29455504,112755,Urban Audience
69,Annual Report Publication 69,Annual Report Publication terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Development,Completed,2025-12-17,2026-01-31,55711321,182568,Business Clients
70,Annual Report Publication 70,Annual Report Publication terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,HR,Planned,2024-09-02,2024-12-25,35002966,30880,Urban Audience
71,Community Outreach Program 71,Community Outreach Program terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Research,Completed,2025-11-16,2025-12-02,49369735,84918,Tech Users
72,CSR School Donation 72,CSR School Donation terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Marketing,Ongoing,2025-01-25,2025-05-05,12210654,197559,Teachers & Students
73,Webinar Series 73,Webinar Series terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Research,Completed,2024-12-08,2025-02-05,15242147,48680,Millennials
74,Employee Training Week 74,Employee Training Week terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Development,On Hold,2025-12-27,2026-03-12,34550778,76469,Teachers & Students
75,E-Commerce Expansion 75,E-Commerce Expansion terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Marketing,Completed,2025-08-09,2025-09-14,28777374,20560,Company Employees
76,Data Analytics Project 76,Data Analytics Project terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Event,Completed,2024-04-18,2024-07-08,45104753,144356,Existing Customers
77,Green Office Initiative 77,Green Office Initiative terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Completed,2025-09-14,2025-09-29,20428779,134409,General Public
78,Green Office Initiative 78,Green Office Initiative terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,On Hold,2025-06-27,2025-07-25,40167464,186839,Company Employees
79,Annual Report Publication 79,Annual Report Publication terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,HR,Ongoing,2024-01-04,2024-01-24,33207343,104172,Existing Customers
80,Customer Satisfaction Survey 80,Customer Satisfaction Survey terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,IT,On Hold,2024-04-03,2024-06-04,16581946,172189,Business Clients
81,CSR School Donation 81,CSR School Donation terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Development,Planned,2025-02-22,2025-05-29,5654199,72942,Millennials
82,SEO Optimization 82,SEO Optimization terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Development,Ongoing,2024-06-19,2024-10-01,21859244,1579,Existing Customers
83,Green Office Initiative 83,Green Office Initiative terkait riset pelanggan untuk meningkatkan kinerja perusahaan.,Event,Planned,2025-01-14,2025-04-10,17746252,166775,Business Clients
84,Webinar Series 84,Webinar Series terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Research,On Hold,2025-10-25,2025-12-23,5769964,163597,Internal Staff
85,SEO Optimization 85,SEO Optimization terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,IT,Completed,2025-04-30,2025-08-20,65283319,78449,Company Employees
86,Website Redesign 86,Website Redesign terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Marketing,Planned,2024-11-11,2025-03-08,5400126,76964,General Public
87,Webinar Series 87,Webinar Series terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Development,On Hold,2024-12-03,2025-02-03,53824370,104547,Company Employees
88,Digital Marketing Campaign 88,Digital Marketing Campaign terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,Marketing,Planned,2025-02-25,2025-05-09,62914801,29168,Business Clients
89,AI Chatbot Implementation 89,AI Chatbot Implementation terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,IT,Ongoing,2024-06-24,2024-10-22,34009469,164349,Millennials
90,Influencer Collaboration 90,Influencer Collaboration terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Event,Planned,2025-08-16,2025-11-15,67107045,44600,Youth Audience
91,SEO Optimization 91,SEO Optimization terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Research,Completed,2024-08-30,2024-12-15,11821042,12084,Existing Customers
92,CSR School Donation 92,CSR School Donation terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,CSR,Planned,2024-10-26,2024-11-07,11054247,137072,Urban Audience
93,Influencer Collaboration 93,Influencer Collaboration terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Marketing,Ongoing,2025-01-21,2025-04-15,36620043,61821,Millennials
94,Security System Upgrade 94,Security System Upgrade terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,Event,Completed,2025-04-16,2025-07-07,50806291,14921,Company Employees
95,Cloud Migration 95,Cloud Migration terkait pengembangan sistem untuk meningkatkan kinerja perusahaan.,HR,On Hold,2025-12-07,2026-01-10,6900351,21788,Existing Customers
96,Customer Satisfaction Survey 96,Customer Satisfaction Survey terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Marketing,Completed,2025-12-11,2026-03-14,50900241,14198,Internal Staff
97,Webinar Series 97,Webinar Series terkait kampanye pemasaran untuk meningkatkan kinerja perusahaan.,Research,Ongoing,2025-08-24,2025-11-23,58524822,28244,Millennials
98,Webinar Series 98,Webinar Series terkait implementasi AI untuk meningkatkan kinerja perusahaan.,Event,Ongoing,2024-03-14,2024-05-31,37484948,17986,General Public
99,Influencer Collaboration 99,Influencer Collaboration terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,IT,Ongoing,2024-02-22,2024-03-16,64583784,118610,Tech Users
100,Product Launch Event 100,Product Launch Event terkait pelatihan karyawan untuk meningkatkan kinerja perusahaan.,CSR,Ongoing,2024-10-01,2024-12-08,62422400,113245,Existing Customers
